42687 5 0 1 4 10 8 8 7 0 0 2 4 5 4 9 5
4 1217 0 0 2 5 0 0 2 1 0 0 1 2 0 0 0
17 1 51 2 1 0 0 0 1 0 0 0 0 0 0 0 0
2 0 1 1215 5 0 0 5 2 0 0 1 0 0 0 2 1
26 0 0 3 543 0 0 1 10 0 0 0 24 0 0 0 1
14 9 0 0 2 393 10 0 10 5 0 0 2 5 0 0 0
26 1 2 1 0 4 260 7 0 0 0 0 0 0 0 0 0
22 0 0 10 0 0 4 395 2 1 0 5 5 0 0 5 1
49 0 0 1 21 5 0 3 785 0 0 0 19 1 0 0 7
5 2 0 0 0 8 0 0 2 211 3 0 1 1 0 0 1
1 0 0 0 0 0 2 0 0 0 19 1 0 0 0 0 0
4 0 0 1 0 0 1 7 1 1 0 214 3 0 0 1 1
21 0 0 0 2 1 0 1 19 0 0 0 1549 3 1 0 6
29 5 0 0 2 14 0 0 0 3 0 0 1 199 2 0 2
15 0 0 0 0 0 4 2 0 0 0 1 0 12 52 2 1
20 0 0 5 0 0 0 12 1 0 0 2 2 0 0 213 2
65 0 0 1 1 2 0 0 10 3 0 0 3 5 0 2 573
